Judul,Sinopsis,Genre
Dragon Unvolve Summonster,"Takdirku telah terukir di Langit, untuk kembali turun ke medan laga.. Jiwa-jiwa terkekang, inilah saatnya kalian semua bergabung denganku untuk menyelamatkan negeri tercinta ini... Karena ketika tugas Langit telah memanggil, Cinta, Persahabatan, Keluarga dan apa pun yang kita miliki akan kita korbankan.. Marilah semua, mari ukir cerita kepahlawanan kita, agar nanti Langit bisa menceritakan kepada anak-anak yang hidup sesudah masa kita...",Fantasi
House Of Secrets #2: Battle Of The Beasts,"Cordelia, Brendan, dan Eleanor Walker berusaha kembali hidup normal setelah petualangan mendebarkan mereka dengan buku Kristoff.  Namun, keadaan mereka berbalik seratus delapan puluh derajat dari sebelumnya. Kini permintaan mereka telah terkabul: mereka menjadi kaya raya. Di tengah usaha mereka beradaptasi, kekacauan mulai terjadi. Ada bayangan-bayangan hitam yang mengikuti Eleanor selama di sekolah, Cordelia mendadak berubah menjadi nenek tua, dan Brendan gagal menjadi populer. Dan hal teraneh yang semakin menjauhkan mereka dari kehidupan normal adalah petualangan baru yang dimulai di Bohemian Club bersama para hantu.",Fantasi
Harry Potter and The Cursed Child (Harry Potter dan Si Anak Terkutuk) L,"Menjadi Harry Potter memang sulit dan sekarang pun tidak lebih mudah ketika ia menjadi pegawai Kementerian Sihir yang kelelahan, suami, dan ayah tiga anak usia sekolah. Sementara Harry berjuang menghadapi masa lalu yang mengikutinya, putra bungsunya, Albus, harus berjuang menghadapi beban warisan keluarga yang tak pernah ia inginkan. Ketika masa lalu dan masa sekarang melebur, ayah dan anak pun mengetahui fakta yang tidak menyenangkan: terkadang kegelapan datang dari tempat-tempat yang tak terduga. ",Fantasi
The Black Swan: Rahasia Terjadinya Peristiwa-Peristiwa Langka yang Tak Terduga,"Apa kesamaan antara penemuan roda, Pompeii, kehancuran Wall Street, Harry Potter, dan Internet? Mengapa kita sebenarnya tak perlu mengejar-ngejar bus dan kereta atau membaca koran? Mengapa hampir semua peramal tren ekonomi adalah pembual? Buku ini tentang Black Swan: peristiwa acak yang mendasari hidup kita, dari munculnya buku-buku bestseller hingga bencana dunia. Dampak peristiwa-peristiwa tersebut amat besar, nyaris mustahil diprediksi; namun setelah terjadi, kita selalu berusaha merasionalisasinya. Salah satu contoh Black Swan adalah kejatuhan pasar saham dunia pada 2008 sesuatu yang telah diendus dalam buku ini. The Black Swan menunjukkan kepada kita mengapa kita mesti berhenti berusaha memprediksi segala sesuatu dan justru mengambil keuntungan dari ketidakpastian.",Fantasi
Simpul Ombak - The Tide Knot,"Sapphire dan Conor tak bisa melupakan petualangan mereka di Ingo, dunia bawah laut yang misterius dan begitu memikat. Mereka ingin bertemu lagi dengan teman-teman mereka, Faro dan Elvira. Tapi sekarang Sapphire dan Connor sudah pindah dari rumah mereka di dekat ceruk yang menjadi pintu masuk ke Ingo. Ibu mereka ingin memulai hidup baru di kota pantai St. Pirans, jauh dari kenangan tentang ayah mereka yang hilang di laut setahun sebelumnya. Namun ada bahaya yang mengintai jauh di bawah permukaan laut, di tempat makhluk Mer yang paling bijak, Saldowr, menjaga Simpul Ombak. Ingo sedang gelisah, dan tak lama lagi Sapphire dan Conor akan mendengar panggilan dari lautan dalam...",Fantasi
Saha Mansion,"Ada dua kelas masyarakat yang diakui di kota-negara aneh yang disebut Town, yaitu L dan L2. L yang lebih sering disebut Warga adalah penduduk resmi yang memiliki status finansial tingkat tertentu, pengetahuan, dan keahlian yang dibutuhkan Town. Sedangkan L2 adalah orang-orang yang tidak bisa digolongkan sebagai penduduk resmi, tetapi memiliki izin tinggal sementara. Lalu, ada Saha, golongan masyarakat yang tidak diakui, yang terdiri atas para imigran gelap, difabel, korban kekerasan, dan kemiskinan yang menghuni Saha Mansion. Apa yang terjadi ketika seorang dokter wanita muda yang terhormat ditemukan tewas dengan tanda-tanda kelebihan dosis, pelecehan seksual, dan satu-satunya tersangka adalah kekasihnya yang berasal dari golongan Saha? Polisi segera menahan si kekasih, tetapi apakah pria itu memang pelakunya? Apa hubungannya dengan orang-orang yang menghilang dari Saha Mansion secara misterius? Apa yang sebenarnya terjadi di dalam tembok Town yang tidak bisa ditembus? Dan siapa sebenarnya ketujuh menteri tanpa wajah yang memimpin kota-negara itu?",Fantasi
Penjelajah Antariksa 7: Planet Biru,"Ribuan tahun dari sekarang, Terra atau Bumi yang manusia tempati akibat perang. Penduduk Terra berpencar mencari planet yang bisa mereka tinggali. Sementara itu, keberuntungan berpihak pada empat saudara yang telah lama terpisah. Mereka akhirnya berkumpul kembali dan berusaha mencari jalan pulang ke planet tempat tinggal mereka, Poa. Apakah Vied, Veta, Stri, dan raz berhasil sampai di Poa dengan selamat?",Fantasi
Assassins Creed Series: The Last Descendants - Keturunan-keturunan Terakhir,"Tidak ada yang beres dalam kehidupan Owen sejak ayahnya meninggal dunia di penjara. Monroe, pegawai IT di sekolah, memberi jalan bagi Owen untuk memulihkan nama baik sang ayah. Ia mengizinkan Owen menggunakan Animus---mesin yang mampu membawa penggunanya menjelajahi memori genetik DNA. Saat dalam simulasi, Owen mengungkapkan keberadaan relik berkekuatan besar: Trisula Firdaus. Dua organisasi rahasia---Persaudaraan Assassin dan Ordo Templar---mengincar artefak ini. Di bawah panduan Monroe, Owen dan sekelompok remaja lain lalu memasuki memori DNA: Kerusuhan Draf di New York City tahun 1863. Owen dan rekan-rekannya diuji di jalanan ganas New York. Pengalaman-pengalaman mereka di masa lalu akan berdampak jauh ke masa kini.",Fantasi
Avalon 4 : jalinan sihir - Rahasia Unicorn,"Bisakah Adriane menyelamatkan Stormbringer? Untuk seorang kesatria sihir seperti Adriane, pusat kekuatan sihirnya adalah ikatan persahabatan dengan Si Serigala Kabut, Stormbringer. Di Aldenmor, Adriane menghadapi seorang penyihir kegelapan, sendirian. Dia juga memepelajari beberapateknik sihir yang berbeda saat bertemu dengan seorang pria aneh. Kesatria sihir akan membutuhkan kedua temannya untuk bertahan hidup dari semua yang akan dihadapinya nanti. Selamat datang di dunia baru, di sini kejaiaban itu nyata, dan persahabatan adalah segalanya.",Fantasi
Eragon,"Eragon, anak laki-laki berusia 15 tahun, tinggal bersama paman dan sepupunya di desa bernama Carvahall. Suatu hari ketika sedang berburu ia menemukan batu berwarna biru yang indah di hutan. Karena mengira benda itu berharga dan bisa dijual mahal, ia membawa pulang batu itu. Ternyata batu itu telur naga! Eragon diam-diam memelihara naga itu karena ia tahu pamannya tidak akan setuju. Dari pendongeng tua bernama Brom, Eragon belajar mengenai naga dan sejarah mereka. Brom ternyata bukan pendongeng biasa. Saat Eragon terbang bersama naganya yang dinamainya Saphira, pamannya dibunuh makhluk-makhluk Ra`zac. Eragon bertekad memburu para Ra`zac yang membunuh pamannya dan Brom berkeras ikut. Di perjalanan Brom mengajarkan cara bertarung dengan pedang dan ilmu sihir. Brom berkata Eragon adalah penerus klan para Penunggang Naga. Dahulu Penunggang Naga adalah semacam penjaga keamanan di negara Alagaesia, tempat Eragon tinggal. Seseorang yang menyaksikan telur naga menetas terpilih menjadi Penunggang. Naga di kisah ini adalah makhluk yang memiliki kekuatan supranatural dan dapat berkomunikasi dengan para Penunggang. Klan Penunggang Naga punah karena salah seorang berkhianat dan membujuk Penunggang-Penunggang lain mengikuti jejaknya. Sang pengkhianat bernama Galbatorix, yang sekarang menjadi raja Alagaesia. Ia memerintah dengan kejam, sehingga beberapa orang yang setia pada klan Penunggang memberontak dan membentuk kelompok Varden. Galbatorix memiliki 3 butir telur naga, yang ia tunggu bertahun-tahun untuk menetas di bawah kekuasaannya, sehingga 3 orang Penunggang baru akan menjadi anak buahnya. Sayangnya, salah satu telur berhasil dicuri para Varden (Brom!) dan ditemukan Eragon: Saphira. Selain ceritanya yang seru, di bagian belakang buku ini juga ada semacam Kamus Bahasa Kuno yang dipakai para Penunggang untuk mengucapkan mantra-mantra mereka. Bahasa itu merupakan dasar semua kekuatan. Bahasa Kuno menjabarkan sifat sejati benda-benda, bukan aspek buatan yang dilihat semua orang. Misalnya, api disebut brisingr. Itu bukan saja nama untuk api, tapi itulah nama api. Kalau penggunanya cukup kuat, ia bisa menggunakan brisingr untuk mengarahkan api ke wujud apa pun yang diinginkannya.",Fantasi
