Judul,Sinopsis,Genre
Otoritas (Authority) - Lanjutan Pemusnahan (Annihilation),"Setelah tiga puluh tahun, serangkaian ekspedisi mulai menjelajahi Area X, bentang alam luas yang dikitari perbatasan tak terlihat dan secara misterius menghapus semua tanda peradaban. Ekspedisi ini diawasi oleh suatu badan pemerintah yang sangat rahasia dan nyaris terlupakan, Southern Reach. John Rodriguez, alias Control, ditunjuk untuk mengepalai Southern Reach. Sebagai direktur baru, dia harus bekerja sama dengan tim yang putus asa dan tak dapat diandalkan, melakukan serangkaian interogasi melelahkan, memeriksa tumpukan catatan tersembunyi, dan berjam-jam menonton rekaman video yang meresahkan--semuanya demi memecahkan rahasia Area X. Control juga terobsesi dengan sang ahli biologi, yang kembali dari balik perbatasan tanpa teringat apa pun dan kini ditahan di markas besar Southern Reach untuk diinterogasi. Terbelit dalam dunia paranoia dan rahasia, Control mulai menembus rahasia Area X. Namun, dalam setiap penemuan, dia harus menghadapi kebenaran meresahkan tentang badan yang dikepalainya dan dirinya sendiri.",Fantasi
Red Rising #1: Kebangkitan Merah,"Patahkan belenggunya. Hiduplah untuk tujuan yang lebih berarti. Bumi sudah sekarat. Darrow seorang Merah, penambang di bawah permukaan Mars. Misinya adalah mengumpulkan elemen-elemen berharga yang kelak akan dimanfaatkan untuk menjinakkan permukaan Mars dan memungkinkan manusia hidup di sana. Kaum Merah adalah harapan terakhir umat manusia. Itulah yang mereka yakini, sampai Darrow menyadari semua itu kebohongan besar. Mars sudah layak huni dan sudah dihuni selama ratusan tahun, oleh orang-orang yang menyebut diri mereka kaum Emas. Mereka adalah golongan yang menganggap Darrow dan kaumnya hanyalah budak remeh yang bisa dieksploitasi dan disingkirkan tanpa ragu.",Fantasi
After #2: Setelah Kita Bertemu (After We Collided),"Hardin telah melakukan perbuatan tidak termaafkan kepada Tessa. Sumpah mati, Tessa membenci cowok bertato, arogan, dan kurang ajar yang telah mengkhianati kepercayaannya itu. Namun, di saat dia bertekad menjalani lembaran baru tanpa Hardin, cowok itu terus hadir menggedor-gedor hatinya. Hardin melakukan hal-hal yang membuat Tessa yakin bahwa cowok itu telah berubah. Tapi apakah benar begitu? Apakah orang sanggup berubah demi cinta? Tessa nyaris kehilangan segalanya. Ibu, mantan pacar yang masih mencintainya, sekolah, teman... Apakah semua itu sebanding dengan hubungannya bersama Hardin yang terus dihantam amarah, kecemburuan, kesalahpahaman, dan masa lalu kelam? Sekali lagi, setelah semua hal terburuk yang pernah melanda keduanya, Tessa dan Hardin memperjuangkan cinta mereka yang kerap meninggalkan luka",Fantasi
The Emperor (The Emperor #1),"Anthravai, seorang kepala suku muda di Elniri, pergi ke pegunungan karang dengan ditemani sepasang serigala sahabatnya: Burai dan Qirir, untuk mencari tahu penyebab kematian kakaknya di masa lalu. Ia bertemu seorang wanita misterius yang terpenjara dalam sebuah dinding magis, yang mungkin adalah dewi dari lautan. Dua tahun kemudian ia ikut serta dalam Perburuan Agung yang diikuti oleh prajurit-prajurit terbaik dari berbagai suku di Elniri. Termasuk di mereka adalah Vyndassi dan Thorsti, teman Anthravai sejak kecil yang sudah dianggap seperti saudara sendiri. Anthravai membunuh seekor hewan raksasa, yang membuatnya yakin bahwa ia telah ditakdirkan oleh para dewa untuk menjadi pemimpin bangsa Elniri.",Fantasi
Poison Study (Study #1),"Pilih satu: Mati dengan cara cepat atau mati perlahan-lahan.... Yelena sudah melakukan pembunuhan, dan karenanya akan dieksekusi. Namun dia mendapatkan tawaran yang menggiurkan dari Valek, tangan kanan sang Komandan: menjadi pencicip makanan Komandan. Yelena akan menyantap makanan ternikmat, tidur di istana..., dan tetap berisiko mati saat melakukan itu semua. Yelena, tentu saja memilih untuk terus hidup dengan menjadi pencicip makanan. Tapi Valek dengan sengaja memberikan racun di makanan Yelena. Itu adalah strategi Valek agar Yelena tidak berbuat jahat kepada Komandan. Yelena masih bisa terus hidup, asalkan setiap pagi dia menemui Valek untuk mendapat penawarnya. Malapetaka terus merundung Yelena. Begitu banyak yang ingin menghabisinya, tapi Yelena sering terhindar dari kematian karena ternyata dirinya pun mewarisi sihir, yang tak pernah dia ketahui. Sesuai Kode Tingkah Laku, penyihir yang ditemukan di Ixia akan dihabisi, berbeda dengan Sitia, tempat para penyihir bebas berkeliaran. Belum ada yang mengetahui tentang sihir Yelena, tapi dia punya satu kendala: dia belum dapat mengendalikan sihirnya. Akankah identitas Yelena terkuak? Apakah dia akan, sekali lagi, dihukum mati?",Fantasi
Timeriders 9: The Infinity Cage,"LIAM O`CONNOR seharusnya meninggal di lautan tahun 1912. MADDY CARTER seharusnya meninggal di pesawat tahun 2010. SAL VIKRAM seharusnya meninggal dalam kebakaran tahun 2026. Tapi mereka bertiga diberi kesempatan keduauntuk bekerja pada sebuah agensi yang keberadaannya tidak diketahui siapa pun. Tujuannya: mencegah perjalanan waktu menghancurkan sejarah....Akhir cerita bagi para Penjelajah Waktu akan segera berakhir. Sebagai satu usaha untuk mencegah pengrusakan sejarah, Liam dan Maddy melompat kembali ke tahun 2070 untuk berhadapan dengan Waldstein, pencipta mereka yang menyimpan banyak teka-teki, untuk membuktikan apakah Waldstein adalah sekutu atau musuh. Namun, mereka malah mendapati kenyataan yang amat mengejutkan, yang memaksa mereka menjalankan satu misi terakhir -- kembali ke awal Masehi untuk menyelamatkan manusia.",Fantasi
Imaji,"Selamat datang di dunia imaji! Ini adalah dunia yang akan membawamu menembus batas realitas. Di sini, ilusi hadir untuk menghidupkan fakta. Di sini pula, kau akan menyaksikan pertempuran akbar dengan tangan hampa, mendengar apa yang bisa dikisahkan sebuah cermin, mencecap magis yang menentang logika. Kumpulan kisah dalam Imaji akan mengantarmu menuju gerbang kisah tak terbayangkan.",Fantasi
Nibiru: Masa Kehancuran,"Di sebuah negeri bernama Kedhalu, hiduplah Dhaca bersama ketiga temannya: Sothap, Nyithal, dan Muwu. Mereka disebut ""Empat Pengacau Kecil"" karena suka membuat keributan di Kedhalu. Keempat anak itu bersekolah di Bephomany untuk melatih pughaba--olah tubuh yang bisa mendatangkan kekuatan tanpa batas. Pergi ke Bephomany adalah sesuatu yang dilakukan Dhaca dengan malas-malasan yang membuatnya empat kali tidak naik kelas. Sampai pada satu titik kesadaran ketika Dhaca mimpi didatangi Nibiru, sang pembawa kiamat dan kekacauan, yang konon muncul setiap 5013 tahun, mengancam kehidupan Kedhalu, kampung halaman Dhaca. Dhaca tahu, kehancuran Kedhalu akan segera tiba. Ramalan kedatangan Nibiru hampir terpenuhi. Meski tampak mustahil, Dhaca dan kawan-kawan bersiap untuk melawannya! Tak ada lagi kata malas-malasan.",Fantasi
Yang Pertama - Eldest,"Eragon dan naganya, Saphira, berhasil menyelamatkan para pemberontak dari Raja Galbatorix, penguasa kejam Kekaisaran. Sekarang Eragon harus pergi ke Ellesmera, negeri para elf, untuk mempelajari lebih dalam ilmu sihir dan ilmu pedang agar ia dapat menjadi Penunggang Naga yang andal. Perjalanan yang luar biasa itu membuatnya sampai di banyak tempat yang memikat dan menemui orang-orang yang menakjubkan. Termasuk Arya, elf yang membuat Eragon merasakan cinta untuk pertama kalinya. Juga Oromis dan naganya, Glaedr, yang mengajari Eragon berbagai hal untuk mempererat hubungan batin antara dirinya dengan Saphira, naganya. Setiap hari merupakan petualangan baru bagi Eragon. Namun kekacauan dan pengkhianatan menghantuinya, Eragon jadi tidak tahu siapa yang bisa dipercayainya.Sementara itu, sepupunya Roran kembali harus menghadapi pertempuran di Carvahal---pertempuran yang menyebabkan Eragon berada dalam bahaya yang lebih besar lagi karena melibatkan Galbatorix juga. Apakah tangan penuh darah sang raja akan menghantam semua usaha untuk melawannya? Eragon kali ini mungkin takkan berhasil meloloskan diri, biarpun dengan mengorbankan nyawanya...",Fantasi
Duo Detektif: Perburuan Nagabiru,"Jalu dan Bima berlibur ke rumah Om Seto dan Tante Farah di Semarang. Selain jalan-jalan dan menikmati berbagai makanan lezat, mereka juga berkunjung ke kantor OmegaDome, studio pembuat video game lokal kenamaan. Kunjungan itu menjadi awal keikutsertaan Jalu dan Bima dalam Perburuan Nagabiru, kompetisi ala perburuan harta karun yang digelar untuk mempromosikan game terbaru keluaran OmegaDome. Namun kompetisi itu kemudian jadi berjalin dengan penyelidikan nyata saat Jalu dan Bima mengalami kejadian janggal di lokasi pertama dan kedua perburuan. Ada teror mengejutkan, kode yang perlu dipecahkan, juga seseorang yang sepertinya dalam pelarian. Mampukah otak genius Jalu serta jari cekatan Bima mengantar mereka menjadi pemenang perburuan, memecahkan kasus misterius yang mengiringi perjalanan mereka, sekaligus menikmati sebanyak mungkin makanan lezat khas Semarang?",Fantasi
Bangkitnya sang Serigala - Rise of the Wolf,"Nic kembali menjadi orang paling dicari. Alasannya hanya satu: ia memiliki kunci kuil yang menyimpan Mars si Jahat, amulet lain dengan kesaktian luar biasa. Namun tak ada yang paling menginginkan amulet itu selain para Praetor yang dipimpin Decimas Brutus, pengabdi Dewi Diana yang bertekad membantunya memenangi perang para dewa. Semua orang meyakini Senator Horatio memberikan kunci tersebut kepada Nic sebelum kematiannya, padahal Nic tak tahu apa-apa. Para Praetor akan melakukan apa saja demi mendapatkan kunci itu, termasuk melukai sahabat dan keluarga Nic. Ketika mereka kemudian menculik ibu Nic, Nic tahu ia harus berusaha melakukan apa pun demi menyelamatkannya. Ia pun mengusulkan pertandingan balap kereta. Jika ia menang, ibunya akan dibebaskan. Jika kalah, Nic akan ikut dengan para Praetor untuk membantu mereka mendapatkan Mars si Jahat, dan itu berarti ikut andil dalam menghancurkan Roma",Fantasi
Ther Melian: Reminiscence,"Setelah dinyatakan tak bersalah atas serangan Necrus yang nyaris membumihanguskan Dominia, Lucca akhirnya kembali dari Falthemnar untuk bersama dengan Elya. Mereka mulai menikmati kebersamaan, ketika sekelompok Elvar yang dipimpin oleh Kyre datang untuk Lucca. Kyre menuduh Lucca atas kejahatan yang terjadi di masa lalu, saat dia masih menjadi Sylvar. Pada saat bersamaan, seorang wanita Elvar datang mengajak Lucca menapak tilas masa lalunya demi melacak Erzel, pria yang pertama kali menciptakan Necrus Raksasa. Keadaan menjadi semakin gawat ketika simpatisan Recion--mendiang ibu angkat Lucca--muncul dan menculik Elya dalam upaya putus asa mereka untuk menemukan Erzel. Ketika sepertinya tak ada seorang pun di sekitar mereka yang bisa dipercaya, Elya sekali lagi harus berpacu dengan waktu untuk mengembalikan ingatan Lucca demi menemukan Erzel dan menghentikan terciptanya pasukan Necrus untuk selamanya. Hanya saja kali ini, dia mungkin tak bisa lagi memercayai Lucca.",Fantasi
